210,0210,244,Flores,Portugal,39.45,-31.117,7/9/1976,11/24/2009,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0210.csv
830,0830,243,La Coruna,Spain,43.36,-8.4,3/1/1943,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0830.csv
822,0822,242,Brest,France,48.383,-4.5,1/4/1846,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0822.csv
294,0294,241,Newlyn,United Kingdom,50.1,-5.54,4/22/2015,11/30/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0294.csv
835,0835,240,Castletownsend,Ireland,51.53,-9.18,12/17/2004,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0835.csv
834,0834,239,Malin Head,Ireland,55.37,-7.33,4/30/2008,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0834.csv
295,0295,238,Stornoway,United Kingdom,58.217,-6.383,1/1/1976,11/30/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0295.csv
293,0293,236,Lerwick,United Kingdom,60.15,-1.133,1/1/1959,11/30/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0293.csv
802,0802,235,Maloy,Norway,61.933,5.117,4/21/1986,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0802.csv
803,0803,234,Rorvik,Norway,64.867,11.25,8/18/1969,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0803.csv
819,0819,233,Goteborg-Torshamnen (Gothenburg),Sweden,57.683,11.8,11/2/1967,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0819.csv
288,0288,229,Reykjavik,Iceland,64.15,-21.99,2/5/2007,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0288.csv
820,0820,225,Godthab (Nuuk),Denmark,64.17,-51.73,7/4/2014,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0820.csv
833,0833,224,Nain,Canada,56.54,-61.69,10/17/1963,3/24/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0833.csv
276,0276,223,St. John's Newfoundland,Canada,47.4,-52.68,9/2/1989,4/29/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0276.csv
275,0275,222,Halifax,Canada,44.68,-63.61,10/15/1895,4/29/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0275.csv
259,0259,221,Bermuda St. Georges Is.,United Kingdom,32.22,-64.7,1/1/1985,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0259.csv
264,0264,220,Atlantic City,United States,39.35,-74.42,8/19/2011,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0264.csv
260,0260,219,Duck Pier,United States,35.183,-75.75,6/1/1978,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0260.csv
775,0775,217,Galveston (Pier 21),United States,29.33,-94.74,1/1/2004,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0775.csv
242,0242,216,Key West,United States,24.553,-81.808,1/19/2013,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0242.csv
257,0257,211,Settlement Point,Bahamas,26.717,-78.983,6/4/2002,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0257.csv
799,0799,209,Port-au-Prince (Les Cayes),Haiti,18.57,-72.35,11/30/2011,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0799.csv
245,0245,206,San Juan Puerto Rico,United States,18.462,-66.117,11/29/1977,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0245.csv
824,0824,205,Marseille,France,43.28,5.35,1/1/2017,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0824.csv
227,0227,202,Cayenne (Degrad des Cannes),France,4.85,-52.28,11/3/2006,10/31/2011,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0227.csv
280,0280,195,Rio de Janeiro (Ilha Fiscal),Brazil,-22.9,-43.167,2/2/1963,4/30/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0280.csv
281,0281,194,Cananeia,Brazil,-25.017,-47.933,2/26/1954,4/9/2007,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0281.csv
729,0729,192,Mar del Plata,Argentina,-38.04,-57.53,3/24/2010,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0729.csv
731,0731,191,Puerto Madryn,Argentina,-42.77,-65.03,3/14/2010,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0731.csv
286,0286,190,Puerto Deseado,Argentina,-47.75,-65.92,3/17/2010,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0286.csv
700,0700,188,Faraday (Argentine Is.),United Kingdom,-65.25,-64.267,10/15/1959,4/28/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0700.csv
601,0601,185,Bahia Esperanza,Argentina,-63.3,-56.917,2/24/1993,9/11/2005,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0601.csv
82,0082,182,Acajutla (Acajutia),El Salvador,13.583,-89.833,8/19/2010,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0082.csv
600,0600,181,Ushuaia,Argentina,-54.817,-68.217,1/1/1996,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0600.csv
684,0684,178,Puerto Montt,Chile,-41.86,-74.35,4/2/1980,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0684.csv
35,0035,177,San Felix,Chile,-26.258,-80.124,11/6/1987,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0035.csv
21,0021,176,Juan Fernandez,Chile,-33.617,-78.833,9/4/1985,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0021.csv
81,0081,175,Valparaiso,Chile,-33.033,-71.617,1/2/1944,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0081.csv
80,0080,174,Antofagasta,Chile,-23.65,-70.417,12/6/1945,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0080.csv
93,0093,173,Callao,Peru,-12.071,-77.174,1/1/1970,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0093.csv
91,0091,172,La Libertad,Ecuador,-2.209,-80.902,9/1/1949,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0091.csv
3,0003,169,Baltra (Galapagos Is.),Ecuador,-0.433,-90.283,3/25/1985,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0003.csv
302,0302,168,Balboa,Panama,8.97,-79.57,6/19/2007,12/31/2014,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0302.csv
87,0087,167,Quepos,Costa Rica,9.4,-84.167,10/8/2009,10/31/2015,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0087.csv
395,0395,163,Manzanillo,Mexico,19.06,-104.3,12/1/1992,8/29/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0395.csv
90,0090,162,Socorro Is.,Mexico,18.717,-110.017,5/5/1992,9/22/1997,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0090.csv
34,0034,161,Cabo San Lucas,Mexico,22.883,-109.917,6/12/1973,9/14/2014,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0034.csv
554,0554,159,La Jolla,United States,32.867,-117.25,1/1/2025,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0554.csv
551,0551,158,San Francisco (Fort Point),United States,37.8,-122.467,8/1/1897,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0551.csv
592,0592,157,South Beach,United States,44.625,-124.043,2/1/1967,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0592.csv
542,0542,156,Tofino,Canada,49.15,-125.917,10/1/2009,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0542.csv
540,0540,155,Prince Rupert,Canada,54.317,-130.317,1/1/2009,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0540.csv
559,0559,154,Sitka,United States,57.052,-135.342,5/20/1938,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0559.csv
579,0579,151,Prudhoe Bay,United States,70.388,-148.51,6/27/1993,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0579.csv
560,0560,150,Seward,United States,60.119,-149.427,1/1/1967,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0560.csv
53,0053,149,Guam (Apra Harbour},Guam,13.59,144.87,3/10/1948,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0053.csv
399,0399,148,Lord Howe Is.,Australia,-31.517,159.067,4/23/1991,6/30/2012,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0399.csv
11,0011,146,Christmas Is. (Line Is.),Kiribati,1.983,-157.467,2/6/1974,1/9/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0011.csv
13,0013,145,Canton Is. (Kanton Is.),Kiribati,-2.817,-171.717,5/2/1972,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0013.csv
56,0056,144,Pago Pago,United States,-14.277,-170.691,9/8/1948,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0056.csv
24,0024,143,Penrhyn,Cook Islands,-9.017,-158.067,4/16/1977,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0024.csv
31,0031,142,Nuku Hiva (Marquesas Is.),French Polynesia,-8.922,-140.095,4/1/1982,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0031.csv
906,0906,141,Moulmein (Mawlamyine),Myanmar,16.483,97.617,12/1/2006,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0906.csv
15,0015,140,Papeete,France,-17.533,-149.567,6/8/1975,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0015.csv
23,0023,139,Rarotonga,Cook Islands,-21.2,-159.783,2/20/1993,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0023.csv
16,0016,138,Rikitea,France,-23.133,-134.97,10/5/1969,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0016.csv
22,0022,137,Pascua Is. (Easter Is.),Chile,-27.153,-109.448,4/2/1970,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0022.csv
189,0189,131,Dumont d'Urville (Terre-Adelie),Antarctica,-66.67,140,1/16/2008,8/19/2010,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0189.csv
680,0680,130,Macquarie Is.,Australia,-54.5,158.94,12/28/1993,7/9/2008,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0680.csv
72,0072,129,Bluff Harbour,New Zealand,-46.6,168.35,10/1/1984,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0072.csv
79,0079,128,Waitangi Chatham Is.,New Zealand,-43.946,-176.561,1/1/2001,2/15/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0079.csv
38,0038,125,Tongatapu (Nuku' alofa),Tonga,-21.15,-175.18,6/20/1990,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0038.csv
19,0019,123,Noumea,France,-22.285,166.433,2/24/1967,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0019.csv
18,0018,122,Suva (Kings Wharf),Fiji,-18.137,178.433,1/27/1998,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0018.csv
25,0025,121,Funafuti,Tuvalu,-8.533,179.2,3/24/1993,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0025.csv
7,0007,120,Malakal,Palau,7.328,134.45,5/18/1969,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0007.csv
8,0008,119,Yap,Federated States of Micronesia,9.514,138.125,5/10/1969,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0008.csv
28,0028,118,Saipan,Northern Mariana Islands,15.227,145.742,9/19/1978,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0028.csv
29,0029,117,Kapingamarangi (Caroline Is.),Federated States of Micronesia,1.1,154.783,9/8/1978,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0029.csv
1,0001,115,Pohnpei,Federated States of Micronesia,6.96,158.21,12/16/2001,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0001.csv
4,0004,114,Nauru,Nauru,0.533,166.93,7/8/1993,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0004.csv
2,0002,113,Betio (Tarawa),Kiribati,1.35,172.917,12/4/1992,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0002.csv
5,0005,112,Majuro,Marshall Islands,7.117,171.367,5/14/1993,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0005.csv
55,0055,111,Kwajalein,Marshall Islands,8.737,167.738,6/7/1946,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0055.csv
52,0052,109,Johnston Is.,United States,16.733,-169.533,5/1/1947,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0052.csv
57,0057,108,Honolulu,United States,21.3,-157.86,1/1/2005,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0057.csv
14,0014,107,French Frigate Shoals Tern Is,United States,23.783,-166.217,5/26/2007,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0014.csv
50,0050,106,Midway Is. (Sand Is.),United States,28.217,-177.367,2/8/1947,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0050.csv
51,0051,105,Wake Is.,United States,19.283,166.617,5/30/1950,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0051.csv
49,0049,104,Minami-Tori-Shima (Minamitoris),Japan,24.3,153.97,1/1/1997,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0049.csv
47,0047,103,Chichijima,Japan,27.08,142.18,3/31/1975,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0047.csv
41,0041,102,Unalaska (Dutch Harbor),United States,53.883,-166.533,1/1/1982,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0041.csv
71,0071,101,Wellington Harbour,New Zealand,-41.283,174.783,11/18/1944,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0071.csv
574,0574,100,Sand Point,United States,55.337,-160.502,1/1/1973,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0574.csv
155,0155,96,Dzaoudzi (Mayotte),France,-12.783,45.25,5/11/2008,3/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0155.csv
127,0127,95,Syowa,Japan,-69.01,39.58,1/31/1987,12/31/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0127.csv
350,0350,89,Kushiro,Japan,42.97,144.383,1/1/1963,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0350.csv
364,0364,88,Hakodate,Japan,41.783,140.733,6/30/1964,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0364.csv
351,0351,87,Ofunato,Japan,39.02,141.75,1/1/1965,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0351.csv
352,0352,86,Mera,Japan,34.917,139.833,1/1/1965,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0352.csv
353,0353,85,Kushimoto,Japan,33.13,135.78,1/1/1961,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0353.csv
362,0362,83,Nagasaki,Japan,32.733,129.867,1/1/1985,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0362.csv
354,0354,82,Aburatsu,Japan,31.567,131.417,1/1/1961,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0354.csv
355,0355,81,Naha,Japan,26.22,127.67,7/31/1966,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0355.csv
329,0329,77,Quarry Bay (Hong Kong),China,22.6,114.22,1/1/1986,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0329.csv
184,0184,76,Port Elizabeth,South Africa,-33.967,25.633,3/1/1973,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0184.csv
381,0381,75,Qui Nhon,Viet Nam,13.775,109.254,10/19/2007,4/22/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0381.csv
