UH_ID,UH_ID_4Digit,GLOSS_ID,Location,Country,Latitude,Longitude,Start,End,
225,0225,260,Sao Tome,Sao Tome and Principe,0.348,6.737,08/27/04,08/09/10,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0225.csv
233,0233,259,Lagos,Nigeria,6.417,3.45,11/01/08,04/17/09,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0233.csv
223,0223,253,Dakar,Senegal,14.633,-17.45,01/01/96,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0223.csv
217,0217,251,Las Palmas (Puerto de la Luz),Spain,28.13,-15.42,05/07/91,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0217.csv
218,0218,250,Funchal,Portugal,32.633,-16.9,10/06/76,12/31/12,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0218.csv
207,0207,249,Ceuta,Spain,35.9,-5.317,03/01/44,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0207.csv
289,0289,248,Gibraltar,United Kingdom,36.13,-5.35,07/01/61,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0289.csv
209,0209,246,Cascais,Portugal,38.69,-9.42,11/06/08,09/16/15,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0209.csv
211,0211,245,Ponta Delgada,Portugal,37.73,-25.68,05/19/78,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0211.csv
210,0210,244,Flores,Portugal,39.45,-31.117,07/09/76,11/24/09,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0210.csv
830,0830,243,La Coruna,Spain,43.36,-8.4,03/01/43,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0830.csv
822,0822,242,Brest,France,48.383,-4.5,1846-01-04,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0822.csv
294,0294,241,Newlyn,United Kingdom,50.1,-5.54,04/22/15,11/30/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0294.csv
835,0835,240,Castletownsend,Ireland,51.53,-9.18,12/17/04,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0835.csv
834,0834,239,Malin Head,Ireland,55.37,-7.33,04/30/08,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0834.csv
295,0295,238,Stornoway,United Kingdom,58.217,-6.383,01/01/76,11/30/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0295.csv
293,0293,236,Lerwick,United Kingdom,60.15,-1.133,01/01/59,11/30/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0293.csv
802,0802,235,Maloy,Norway,61.933,5.117,04/21/86,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0802.csv
803,0803,234,Rorvik,Norway,64.867,11.25,08/18/69,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0803.csv
